,movie_id,title,kafka_id
303,813.0,Airplane!,airplane+1980
304,814.0,An American Werewolf in London,an+american+werewolf+in+london+1981
305,816.0,Austin Powers: International Man of Mystery,austin+powers+international+man+of+mystery+1997
306,817.0,Austin Powers: The Spy Who Shagged Me,austin+powers+the+spy+who+shagged+me+1999
307,819.0,Sleepers,sleepers+1996
308,820.0,JFK,jfk+1991
309,821.0,Judgment at Nuremberg,judgment+at+nuremberg+1961
310,824.0,Moulin Rouge!,moulin+rouge+2001
311,827.0,Diabolique,diabolique+1955
312,828.0,The Day the Earth Stood Still,the+day+the+earth+stood+still+1951
313,830.0,Forbidden Planet,forbidden+planet+1956
314,832.0,M,m+1931
315,833.0,Umberto D.,umberto+d.+1952
316,834.0,Underworld: Evolution,underworld+evolution+2006
317,837.0,Videodrome,videodrome+1983
318,839.0,Duel,duel+1972
319,840.0,Close Encounters of the Third Kind,close+encounters+of+the+third+kind+1977
320,843.0,In the Mood for Love,in+the+mood+for+love+2000
321,844.0,2046,2046+2004
322,847.0,Willow,willow+1988
323,850.0,A Christmas Story,a+christmas+story+1983
324,851.0,Brief Encounter,brief+encounter+1945
325,854.0,The Mask,the+mask+1994
326,855.0,Black Hawk Down,black+hawk+down+2001
327,857.0,Saving Private Ryan,saving+private+ryan+1998
328,859.0,Dangerous Liaisons,dangerous+liaisons+1988
329,860.0,WarGames,wargames+1983
330,861.0,Total Recall,total+recall+1990
331,862.0,Toy Story,toy+story+1995
332,863.0,Toy Story 2,toy+story+2+1999
333,865.0,The Running Man,the+running+man+1987
334,866.0,Finding Neverland,finding+neverland+2004
335,870.0,Dolls,dolls+2002
336,871.0,Planet of the Apes,planet+of+the+apes+1968
337,879.0,Hook,hook+1991
338,880.0,Antonia's Line,antonias+line+1995
339,881.0,A Few Good Men,a+few+good+men+1992
340,885.0,The Docks of New York,the+docks+of+new+york+1928
341,887.0,The Best Years of Our Lives,the+best+years+of+our+lives+1946
342,891.0,All the President's Men,all+the+presidents+men+1976
343,892.0,Delicatessen,delicatessen+1991
344,895.0,Andrei Rublev,andrei+rublev+1966
345,896.0,The World of Apu,the+world+of+apu+1959
346,897.0,Aparajito,aparajito+1956
347,898.0,Birdman of Alcatraz,birdman+of+alcatraz+1962
348,899.0,Broken Blossoms,broken+blossoms+1919
349,900.0,Bringing Up Baby,bringing+up+baby+1938
350,901.0,City Lights,city+lights+1931
351,902.0,The City of Lost Children,the+city+of+lost+children+1995
352,905.0,Pandora's Box,pandoras+box+1929
353,912.0,The Thomas Crown Affair,the+thomas+crown+affair+1968
354,921.0,Cinderella Man,cinderella+man+2005
355,926.0,Galaxy Quest,galaxy+quest+1999
356,931.0,Don't Look Now,dont+look+now+1973
357,934.0,Rififi,rififi+1955
358,936.0,The Pink Panther,the+pink+panther+1963
359,938.0,For a Few Dollars More,for+a+few+dollars+more+1965
360,941.0,Lethal Weapon,lethal+weapon+1987
361,943.0,Lethal Weapon 3,lethal+weapon+3+1992
362,944.0,Lethal Weapon 4,lethal+weapon+4+1998
363,946.0,Letter from an Unknown Woman,letter+from+an+unknown+woman+1948
364,947.0,Lawrence of Arabia,lawrence+of+arabia+1962
365,949.0,Heat,heat+1995
366,950.0,Ice Age: The Meltdown,ice+age+the+meltdown+2006
367,955.0,Mission: Impossible II,mission+impossible+ii+2000
368,961.0,The General,the+general+1926
369,962.0,The Gold Rush,the+gold+rush+1925
370,963.0,The Maltese Falcon,the+maltese+falcon+1941
371,964.0,The Phantom of the Opera,the+phantom+of+the+opera+1925
372,966.0,The Magnificent Seven,the+magnificent+seven+1960
373,967.0,Spartacus,spartacus+1960
374,968.0,Dog Day Afternoon,dog+day+afternoon+1975
375,975.0,Paths of Glory,paths+of+glory+1957
376,978.0,Seven Years in Tibet,seven+years+in+tibet+1997
377,981.0,The Philadelphia Story,the+philadelphia+story+1940
378,982.0,The Manchurian Candidate,the+manchurian+candidate+1962
379,983.0,The Man Who Would Be King,the+man+who+would+be+king+1975
380,986.0,Chimes at Midnight,chimes+at+midnight+1965
381,993.0,Sleuth,sleuth+1972
382,994.0,Straw Dogs,straw+dogs+1971
383,996.0,Double Indemnity,double+indemnity+1944
384,1023.0,Adam's Apples,adams+apples+2005
385,1024.0,Heavenly Creatures,heavenly+creatures+1994
386,1040.0,The Leopard,the+leopard+1963
387,1049.0,Sommersby,sommersby+1993
388,1050.0,Shower,shower+1999
389,1051.0,The French Connection,the+french+connection+1971
390,1052.0,Blow-Up,blow-up+1966
391,1059.0,The Hidden Fortress,the+hidden+fortress+1958
392,1075.0,"Black Cat, White Cat",black+cat_+white+cat+1998
393,1093.0,Elevator to the Gallows,elevator+to+the+gallows+1958
394,1164.0,Babel,babel+2006
395,1213.0,The Talented Mr. Ripley,the+talented+mr.+ripley+1999
396,1245.0,The Remains of the Day,the+remains+of+the+day+1993
397,1246.0,Rocky Balboa,rocky+balboa+2006
398,1247.0,The Good Shepherd,the+good+shepherd+2006
399,1254.0,"Don't Worry, I'm Fine",dont+worry_+im+fine+2006
400,1255.0,The Host,the+host+2006
401,1259.0,Notes on a Scandal,notes+on+a+scandal+2006
402,1262.0,Stranger Than Fiction,stranger+than+fiction+2006
403,1268.0,Mr. Bean's Holiday,mr.+beans+holiday+2007
404,1272.0,Sunshine,sunshine+2007
405,1280.0,3-Iron,3-iron+2004
406,1281.0,Bean,bean+1997
407,1282.0,Dogtown and Z-Boys,dogtown+and+z-boys+2001
408,1283.0,"Torrente, the Dumb Arm of the Law",torrente_+the+dumb+arm+of+the+law+1998
409,1359.0,American Psycho,american+psycho+2000
410,1360.0,Frida,frida+2002
411,1368.0,First Blood,first+blood+1982
412,1370.0,Rambo III,rambo+iii+1988
413,1376.0,Sweet Sixteen,sweet+sixteen+2002
414,1380.0,Gleaming the Cube,gleaming+the+cube+1989
415,1387.0,Superstar: The Karen Carpenter Story,superstar+the+karen+carpenter+story+1988
416,1391.0,Y Tu Mamá También,y+tu+mam+tambin+2001
417,1394.0,Nostalgia,nostalgia+1983
418,1396.0,Mirror,mirror+1975
419,1404.0,Ae Fond Kiss...,ae+fond+kiss...+2004
420,1412.0,"Sex, Lies, and Videotape",sex_+lies_+and+videotape+1989
421,1427.0,Perfume: The Story of a Murderer,perfume+the+story+of+a+murderer+2006
422,1429.0,25th Hour,25th+hour+2002
423,1433.0,The Devil's Backbone,the+devils+backbone+2001
424,1443.0,The Virgin Suicides,the+virgin+suicides+1999
425,1444.0,Junebug,junebug+2005
426,1483.0,Begotten,begotten+1990
427,1488.0,Mongolian Ping Pong,mongolian+ping+pong+2005
428,1491.0,The Illusionist,the+illusionist+2006
429,1492.0,1492: Conquest of Paradise,1492+conquest+of+paradise+1992
430,1493.0,Miss Congeniality,miss+congeniality+2000
431,1495.0,Kingdom of Heaven,kingdom+of+heaven+2005
432,1523.0,The Last King of Scotland,the+last+king+of+scotland+2006
433,1535.0,Spy Game,spy+game+2001
434,1538.0,Collateral,collateral+2004
435,1541.0,Thelma & Louise,thelma++louise+1991
436,1557.0,23,23+1998
